heading,price,Year,Make,Model,Class,Length,Fuel_Type,Hull_Material,Offered_By,Engine_Make,Engine_Model,Engine_Year,Total_Power,Engine_Hours,Engine_Type,Fuel_Type.1,Propeller_Type,Dry_Weight,Folding_Propeller,Cruising_Speed,Length_on_Deck,Max_Speed,Length_Overall,Beam,Length_at_Waterline,Windlass,Liferaft_Capacity,Electrical_Circuit,Fresh_Water_Tank,Fuel_Tank,Holding_Tank,Single_Berths,Double_Berths,Cabins,Heads,state,Country/Region/State ,Make,Variant,Length (ft),Geographic Region,Country/Region/State ,Listing Price (USD),Year,new_year
2005 Bavaria 42 Cruiser,107588.0,15.0,Bavaria,42 Cruiser,Cruiser,42.09,Diesel,Fiberglass,Abayachting,Volvo Penta,D2 55,,55.0,,Inboard,Diesel|Diesel,,,0,,,,42.0,13.0,,None,,,95.1 gal (),52.83 gal (),,,,3.0,2,Liguria,Italy,Bavaria,42 Cruiser,42,Europe,Italy,95961,2005,15
2005 Bavaria 42 Cruiser,107588.0,15.0,Bavaria,42 Cruiser,Cruiser,42.09,Diesel,Fiberglass,Abayachting,Volvo Penta,D2 55,,55.0,,Inboard,Diesel|Diesel,,,0,,,,42.0,13.0,,None,,,95.1 gal (),52.83 gal (),,,,3.0,2,Liguria,Italy,Bavaria,42 Cruiser,42,Europe,Italy,94746,2005,15
2005 Bavaria 42 Cruiser,107588.0,15.0,Bavaria,42 Cruiser,Cruiser,42.09,Diesel,Fiberglass,Abayachting,Volvo Penta,D2 55,,55.0,,Inboard,Diesel|Diesel,,,0,,,,42.0,13.0,,None,,,95.1 gal (),52.83 gal (),,,,3.0,2,Liguria,Italy,Bavaria,42 Cruiser,42,Europe,Italy,91102,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Croatia,101063,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Croatia,91106,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Croatia,84907,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Croatia,84786,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Greece,133651,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Greece,109338,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Greece,105705,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Greece,103253,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Greece,96933,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Italy,115396,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Italy,103249,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Netherlands,133015,2005,15
2005 Bavaria Cruiser 46,157579.0,15.0,Bavaria,Cruiser 46,Cruiser,45.9,Diesel,Fiberglass,Jover Yachts,None,None,,,,None,Diesel,,,0,7.0,,8.0,45.0,14.0,,None,,,1 x 131.82 gal (),1 x 65.78 gal (),,,,4.0,2,Valencia,Spain,Bavaria,Cruiser 46,46,Europe,Spain,145769,2005,15
2005 Bavaria 50 Cruiser,179900.0,15.0,Bavaria,50 Cruiser,Cruiser,50.0,Diesel,Fiberglass,Little Yacht Sales,Volvo Penta,D2,15.0,75.0,,Inboard,Diesel|Diesel,,,0,,50.0,,49.0,15.0,,None,,,2 x 120 gal (Plastic),1 x 120 gal (Plastic),3 x (Plastic),4.0,3.0,5.0,3,Seabrook,Texas,Bavaria,50 Cruiser,49,Europe,Croatia,103249,2005,15
2005 Bavaria 50 Cruiser,179900.0,15.0,Bavaria,50 Cruiser,Cruiser,50.0,Diesel,Fiberglass,Little Yacht Sales,Volvo Penta,D2,15.0,75.0,,Inboard,Diesel|Diesel,,,0,,50.0,,49.0,15.0,,None,,,2 x 120 gal (Plastic),1 x 120 gal (Plastic),3 x (Plastic),4.0,3.0,5.0,3,Seabrook,Texas,Bavaria,50 Cruiser,49,Europe,Greece,109323,2005,15
2005 Bavaria 50 Cruiser,179900.0,15.0,Bavaria,50 Cruiser,Cruiser,50.0,Diesel,Fiberglass,Little Yacht Sales,Volvo Penta,D2,15.0,75.0,,Inboard,Diesel|Diesel,,,0,,50.0,,49.0,15.0,,None,,,2 x 120 gal (Plastic),1 x 120 gal (Plastic),3 x (Plastic),4.0,3.0,5.0,3,Seabrook,Texas,Bavaria,50 Cruiser,49,Europe,Italy,151843,2005,15
2005 Bavaria 50 Cruiser,179900.0,15.0,Bavaria,50 Cruiser,Cruiser,50.0,Diesel,Fiberglass,Little Yacht Sales,Volvo Penta,D2,15.0,75.0,,Inboard,Diesel|Diesel,,,0,,50.0,,49.0,15.0,,None,,,2 x 120 gal (Plastic),1 x 120 gal (Plastic),3 x (Plastic),4.0,3.0,5.0,3,Seabrook,Texas,Bavaria,50 Cruiser,49,Europe,Italy,136896,2005,15
2004 Bavaria 49 Cruiser NEW ENGINE,130193.0,16.0,Bavaria,49 Cruiser NEW ENGINE,Cruiser,49.0,Diesel,Fiberglass,Selymar Yachts,None,None,,,,None,Diesel,,,0,,,,49.0,14.0,,None,,,,,,,,,3,Dalmatia,Croatia,Bavaria,49 Cruiser,50,Europe,Croatia,103249,2005,15
2004 Bavaria 49 Cruiser NEW ENGINE,130193.0,16.0,Bavaria,49 Cruiser NEW ENGINE,Cruiser,49.0,Diesel,Fiberglass,Selymar Yachts,None,None,,,,None,Diesel,,,0,,,,49.0,14.0,,None,,,,,,,,,3,Dalmatia,Croatia,Bavaria,49 Cruiser,50,Europe,Spain,145744,2005,15
2002 Beneteau First 40.7,97500.0,18.0,Beneteau,First 40.7,Racer,40.0,Diesel,Fiberglass,Sailboat Sales Co,Volvo,MD,,30.0,,Inboard,Diesel|Diesel,,,0,,,,39.0,12.0,34.0,None,,,72 gal (),36 gal (),13 gal (),8.0,,,1,Chicago,Illinois,Beneteau,First 40.7,39,Europe,Croatia,157889,2005,15
1997 Beneteau Oceanis 461,149000.0,23.0,Beneteau,Oceanis 461,Cruiser,46.0,Diesel,Fiberglass,Hallmark Yachts Inc,Yanmar,None,,,,None,Diesel,,20.0,0,,,,46.0,13.0,,None,,,200 gal (),52 gal (),,,,2.0,2,San Diego,California,Beneteau,Cyclades 39.3,39,USA,Florida,72900,2005,15
1997 Beneteau Oceanis 461,149000.0,23.0,Beneteau,Oceanis 461,Cruiser,46.0,Diesel,Fiberglass,Hallmark Yachts Inc,Yanmar,None,,,,None,Diesel,,20.0,0,,,,46.0,13.0,,None,,,200 gal (),52 gal (),,,,2.0,2,San Diego,California,Beneteau,Cyclades 39.3 ,39,Europe,Greece,78975,2005,15
2002 Beneteau First 40.7,97500.0,18.0,Beneteau,First 40.7,Racer,40.0,Diesel,Fiberglass,Sailboat Sales Co,Volvo,MD,,30.0,,Inboard,Diesel|Diesel,,,0,,,,39.0,12.0,34.0,None,,,72 gal (),36 gal (),13 gal (),8.0,,,1,Chicago,Illinois,Beneteau,First 40.7,39,USA,Illinois,124500,2005,15
1997 Beneteau Oceanis 461,149000.0,23.0,Beneteau,Oceanis 461,Cruiser,46.0,Diesel,Fiberglass,Hallmark Yachts Inc,Yanmar,None,,,,None,Diesel,,20.0,0,,,,46.0,13.0,,None,,,200 gal (),52 gal (),,,,2.0,2,San Diego,California,Beneteau,Cyclades 39.3 ,39,Europe,Italy,103275,2005,15
1997 Beneteau Oceanis 461,149000.0,23.0,Beneteau,Oceanis 461,Cruiser,46.0,Diesel,Fiberglass,Hallmark Yachts Inc,Yanmar,None,,,,None,Diesel,,20.0,0,,,,46.0,13.0,,None,,,200 gal (),52 gal (),,,,2.0,2,San Diego,California,Beneteau,Cyclades 39.3 ,39,Europe,Italy,82620,2005,15
1997 Beneteau Oceanis 461,149000.0,23.0,Beneteau,Oceanis 461,Cruiser,46.0,Diesel,Fiberglass,Hallmark Yachts Inc,Yanmar,None,,,,None,Diesel,,20.0,0,,,,46.0,13.0,,None,,,200 gal (),52 gal (),,,,2.0,2,San Diego,California,Beneteau,Cyclades 39.3,39,Caribbean,Mexico,99000,2005,15
1997 Beneteau Oceanis 461,149000.0,23.0,Beneteau,Oceanis 461,Cruiser,46.0,Diesel,Fiberglass,Hallmark Yachts Inc,Yanmar,None,,,,None,Diesel,,20.0,0,,,,46.0,13.0,,None,,,200 gal (),52 gal (),,,,2.0,2,San Diego,California,Beneteau,Cyclades 39.3 ,39,Europe,Portugal,101427,2005,15
1997 Beneteau Oceanis 461,149000.0,23.0,Beneteau,Oceanis 461,Cruiser,46.0,Diesel,Fiberglass,Hallmark Yachts Inc,Yanmar,None,,,,None,Diesel,,20.0,0,,,,46.0,13.0,,None,,,200 gal (),52 gal (),,,,2.0,2,San Diego,California,Beneteau,Cyclades 39.3 ,39,Europe,Spain,108108,2005,15
1997 Beneteau Oceanis 461,149000.0,23.0,Beneteau,Oceanis 461,Cruiser,46.0,Diesel,Fiberglass,Hallmark Yachts Inc,Yanmar,None,,,,None,Diesel,,20.0,0,,,,46.0,13.0,,None,,,200 gal (),52 gal (),,,,2.0,2,San Diego,California,Beneteau,Cyclades 39.3 ,39,Europe,Spain,103249,2005,15
1997 Beneteau Oceanis 461,149000.0,23.0,Beneteau,Oceanis 461,Cruiser,46.0,Diesel,Fiberglass,Hallmark Yachts Inc,Yanmar,None,,,,None,Diesel,,20.0,0,,,,46.0,13.0,,None,,,200 gal (),52 gal (),,,,2.0,2,San Diego,California,Beneteau,Cyclades 39.3 ,39,Europe,United Kingdom,95860,2005,15
2004 Beneteau Oceanis 423,177329.0,16.0,Beneteau,Oceanis 423,Cruiser,43.0,Diesel,Fiberglass,Anchor Yacht Sales,Volvo,D2,16.0,55.0,400.0,Inboard,Diesel|Diesel,4.0,,0,,,,43.0,12.0,38.0,Electric Windlass,,12.0,1 x 154 gal (Plastic),1 x 53 gal (Plastic),2 x 22 gal (Plastic),,3.0,2.0,2,Gore Bay,Ontario,Beneteau,Oceanis 423,43,USA,Connecticut,139995,2005,15
2006 Beneteau Cyclades 43.3,129000.0,14.0,Beneteau,Cyclades 43.3,Cruiser,43.5,Diesel,Fiberglass,Coneys Marine,Yanmar,4JH4E,,54.0,,Inboard,Diesel|Diesel,3.0,19.0,0,,,,43.0,14.0,40.0,None,,,140 gal (),52 gal (),,,,3.0,3,Glen Cove,New York,Beneteau,Cyclades 43.3,43,Europe,France,108108,2005,15
2006 Beneteau Cyclades 43.3,129000.0,14.0,Beneteau,Cyclades 43.3,Cruiser,43.5,Diesel,Fiberglass,Coneys Marine,Yanmar,4JH4E,,54.0,,Inboard,Diesel|Diesel,3.0,19.0,0,,,,43.0,14.0,40.0,None,,,140 gal (),52 gal (),,,,3.0,3,Glen Cove,New York,Beneteau,Cyclades 43.3,43,Europe,France,106519,2005,15
2006 Beneteau Cyclades 43.3,129000.0,14.0,Beneteau,Cyclades 43.3,Cruiser,43.5,Diesel,Fiberglass,Coneys Marine,Yanmar,4JH4E,,54.0,,Inboard,Diesel|Diesel,3.0,19.0,0,,,,43.0,14.0,40.0,None,,,140 gal (),52 gal (),,,,3.0,3,Glen Cove,New York,Beneteau,Cyclades 43.3,43,Europe,France,95961,2005,15
2005 Beneteau Oceanis Clipper 423,124976.0,15.0,Beneteau,Oceanis Clipper 423,Cruiser,42.98,Diesel,Fiberglass,Network Yacht Brokers ,Yanmar,4JH4E,14.0,,,Inboard,Diesel|Diesel,3.0,,0,,,,42.0,12.0,39.0,Electric Windlass,,,,,,1.0,3.0,,2,Dublin,Ireland,Beneteau,Oceanis Clipper 423,43,Europe,Greece,103921,2005,15
2005 Beneteau Oceanis Clipper 423,124976.0,15.0,Beneteau,Oceanis Clipper 423,Cruiser,42.98,Diesel,Fiberglass,Network Yacht Brokers ,Yanmar,4JH4E,14.0,,,Inboard,Diesel|Diesel,3.0,,0,,,,42.0,12.0,39.0,Electric Windlass,,,,,,1.0,3.0,,2,Dublin,Ireland,Beneteau,Oceanis Clipper 423,43,Europe,Italy,91090,2005,15
2005 Beneteau Oceanis Clipper 423,124976.0,15.0,Beneteau,Oceanis Clipper 423,Cruiser,42.98,Diesel,Fiberglass,Network Yacht Brokers ,Yanmar,4JH4E,14.0,,,Inboard,Diesel|Diesel,3.0,,0,,,,42.0,12.0,39.0,Electric Windlass,,,,,,1.0,3.0,,2,Dublin,Ireland,Beneteau,Oceanis Clipper 423,43,Europe,Malta,127526,2005,15
2004 Beneteau Oceanis 423,177329.0,16.0,Beneteau,Oceanis 423,Cruiser,43.0,Diesel,Fiberglass,Anchor Yacht Sales,Volvo,D2,16.0,55.0,400.0,Inboard,Diesel|Diesel,4.0,,0,,,,43.0,12.0,38.0,Electric Windlass,,12.0,1 x 154 gal (Plastic),1 x 53 gal (Plastic),2 x 22 gal (Plastic),,3.0,2.0,2,Gore Bay,Ontario,Beneteau,Oceanis 423,43,USA,Maryland,147900,2005,15
2011 Beneteau Oceanis 43,205000.0,9.0,Beneteau,Oceanis 43,Racer/Cruiser,41.67,Diesel,Fiberglass,1 Ocean Yachts,Yanmar,4JH5E,9.0,54.0,,Inboard,Diesel|Diesel,3.0,19.0,0,,,,42.0,13.0,38.0,None,,,95 gal (),52 gal (),,,,3.0,3,Fort Lauderdale,Florida,Beneteau,Oceanis 43,43,USA,Maryland,144900,2005,15
2005 Beneteau Oceanis Clipper 423,124976.0,15.0,Beneteau,Oceanis Clipper 423,Cruiser,42.98,Diesel,Fiberglass,Network Yacht Brokers ,Yanmar,4JH4E,14.0,,,Inboard,Diesel|Diesel,3.0,,0,,,,42.0,12.0,39.0,Electric Windlass,,,,,,1.0,3.0,,2,Dublin,Ireland,Beneteau,Oceanis Clipper 423,43,Europe,Netherlands,108108,2005,15
2006 Beneteau Cyclades 43.3,129000.0,14.0,Beneteau,Cyclades 43.3,Cruiser,43.5,Diesel,Fiberglass,Coneys Marine,Yanmar,4JH4E,,54.0,,Inboard,Diesel|Diesel,3.0,19.0,0,,,,43.0,14.0,40.0,None,,,140 gal (),52 gal (),,,,3.0,3,Glen Cove,New York,Beneteau,Cyclades 43.3,43,Europe,Portugal,101792,2005,15
2005 Beneteau First 44.7,160000.0,15.0,Beneteau,First 44.7,Racer,44.92,Diesel,Fiberglass,Bluenose Yacht Sales ,Volvo,D2 55 B,,55.0,341.0,Inboard,Diesel|Diesel,3.0,20.0,1,,,,44.0,13.0,,None,,,113 gal (Plastic),53 gal (Plastic),2 x 20 gal (Plastic),,3.0,3.0,2,East Boston,Massachusetts,Beneteau,First 44.7,44,USA,California,180000,2005,15
2005 Beneteau First 44.7,160000.0,15.0,Beneteau,First 44.7,Racer,44.92,Diesel,Fiberglass,Bluenose Yacht Sales ,Volvo,D2 55 B,,55.0,341.0,Inboard,Diesel|Diesel,3.0,20.0,1,,,,44.0,13.0,,None,,,113 gal (Plastic),53 gal (Plastic),2 x 20 gal (Plastic),,3.0,3.0,2,East Boston,Massachusetts,Beneteau,First 44.7,44,USA,California,149000,2005,15
2005 Beneteau First 44.7,104328.0,15.0,Beneteau,First 44.7,Cruiser,44.95,Diesel,Fiberglass,Marine One Boats,Yanmar,None,,55.0,3500.0,Inboard,Diesel|Diesel,3.0,20.0,0,3.0,,4.0,44.0,13.0,,Electric Windlass,,,105.68 gal (),52.84 gal (),,,,3.0,2,Athens,Greece,Beneteau,First 44.7,44,Europe,Greece,131187,2005,15
2005 Beneteau First 44.7,119542.0,15.0,Beneteau,First 44.7,Racer/Cruiser,43.8,Diesel,Fiberglass,Mulazzani Trading Company,Yanmar,None,15.0,55.0,1700.0,Inboard,Diesel|Diesel,,,0,7.0,,6.0,44.0,13.0,37.0,Electric Windlass,,220.0,105.67 gal (Plastic),52.83 gal (Stainless Steel),,,3.0,3.0,2,Liguria,Italy,Beneteau,First 44.7,44,Europe,Italy,119040,2005,15
2005 Beneteau First 44.7,160000.0,15.0,Beneteau,First 44.7,Racer,44.92,Diesel,Fiberglass,Bluenose Yacht Sales ,Volvo,D2 55 B,,55.0,341.0,Inboard,Diesel|Diesel,3.0,20.0,1,,,,44.0,13.0,,None,,,113 gal (Plastic),53 gal (Plastic),2 x 20 gal (Plastic),,3.0,3.0,2,East Boston,Massachusetts,Beneteau,First 44.7,44,USA,Texas,129900,2005,15
2003 Beneteau Oceanis Clipper 473,128236.0,17.0,Beneteau,Oceanis Clipper 473,Cruiser,46.42,Diesel,Fiberglass,Siroco Nautica SA,Yanmar,None,17.0,100.0,,Inboard,Diesel,3.0,,0,,,,46.0,14.0,,Electric Windlass,,,2 x 92.46 gal (),2 x 66.04 gal (),2 x 15.85 gal (),,4.0,4.0,2,Barcelona,Spain,Beneteau,Oceanis Clipper 473,47,Europe,Croatia,144549,2005,15
2005 Beneteau Oceanis 473,189995.0,15.0,Beneteau,Oceanis 473,Cruiser,46.92,Diesel,Fiberglass,Boatshed Saint Lucia,Yanmar 4JH3,None,,,,None,Diesel|Diesel,,,0,,,,46.0,14.0,,None,,,3 x 161.15 gal (),2 x 110.95 gal (),3 x 15.85 gal (),,3.0,3.0,3,Lucia,Saint Lucia,Beneteau,Oceanis 473,47,Europe,Croatia,102034,2005,15
2005 Beneteau First 47.7,199900.0,15.0,Beneteau,First 47.7,Racer/Cruiser,48.58,Diesel,Fiberglass,Little Yacht Sales,Yanmar,4JH3,15.0,75.0,1800.0,Inboard,Diesel|Diesel,,25.0,0,,,,47.0,14.0,41.0,None,,,163.8 gal (),62.09 gal (),,10.0,,,2,Seabrook,Texas,Beneteau,First 47.7,47,Europe,Italy,127543,2005,15
2003 Beneteau Oceanis Clipper 473,128236.0,17.0,Beneteau,Oceanis Clipper 473,Cruiser,46.42,Diesel,Fiberglass,Siroco Nautica SA,Yanmar,None,17.0,100.0,,Inboard,Diesel,3.0,,0,,,,46.0,14.0,,Electric Windlass,,,2 x 92.46 gal (),2 x 66.04 gal (),2 x 15.85 gal (),,4.0,4.0,2,Barcelona,Spain,Beneteau,Oceanis Clipper 473,47,Europe,Malta,133611,2005,15
2005 Beneteau Oceanis 473,189995.0,15.0,Beneteau,Oceanis 473,Cruiser,46.92,Diesel,Fiberglass,Boatshed Saint Lucia,Yanmar 4JH3,None,,,,None,Diesel|Diesel,,,0,,,,46.0,14.0,,None,,,3 x 161.15 gal (),2 x 110.95 gal (),3 x 15.85 gal (),,3.0,3.0,3,Lucia,Saint Lucia,Beneteau,Oceanis 473,47,USA,Maryland,195000,2005,15
2005 Beneteau Oceanis 473,189995.0,15.0,Beneteau,Oceanis 473,Cruiser,46.92,Diesel,Fiberglass,Boatshed Saint Lucia,Yanmar 4JH3,None,,,,None,Diesel|Diesel,,,0,,,,46.0,14.0,,None,,,3 x 161.15 gal (),2 x 110.95 gal (),3 x 15.85 gal (),,3.0,3.0,3,Lucia,Saint Lucia,Beneteau,Oceanis 473,47,USA,North Carolina,185000,2005,15
2005 Beneteau Oceanis 523,350000.0,15.0,Beneteau,Oceanis 523,Racer/Cruiser,53.0,Diesel,Fiberglass,East Coast Yacht Sales,Yanmar,4JH3,15.0,100.0,3400.0,Inboard,Diesel|Diesel,3.0,,0,,,,53.0,16.0,48.0,Electric Windlass,,,,,3 x 35 gal (),,,3.0,3,Harpswell,Maine,Beneteau,Oceanis 523,53,Europe,Italy,224719,2005,15
2005 Beneteau Oceanis Clipper 523,183661.0,15.0,Beneteau,Oceanis Clipper 523,Racer/Cruiser,53.15,Diesel,Fiberglass,White Whale Yachtbrokers,Yanmar,4JH3HTE,15.0,75.0,2300.0,Inboard,Diesel|Diesel,3.0,33.0,0,6.0,,8.0,53.0,16.0,,Electric Windlass,8.0,12.0,198.13 gal (),118.89 gal (),,,4.0,4.0,4,Almería,Spain,Beneteau,Oceanis Clipper 523,53,Europe,Spain,224719,2005,15
2005 Beneteau Oceanis Clipper 523,183661.0,15.0,Beneteau,Oceanis Clipper 523,Racer/Cruiser,53.15,Diesel,Fiberglass,White Whale Yachtbrokers,Yanmar,4JH3HTE,15.0,75.0,2300.0,Inboard,Diesel|Diesel,3.0,33.0,0,6.0,,8.0,53.0,16.0,,Electric Windlass,8.0,12.0,198.13 gal (),118.89 gal (),,,4.0,4.0,4,Almería,Spain,Beneteau,Oceanis Clipper 523,53,Europe,Spain,223504,2005,15
